Word,PonderadoApilado,Similares
presidente,69.07000000000001,"['president', 'vicepresidenta', 'expresidente', 'vicepresidente', 'presidente castillo', 'presidenta', 'peru president calls on counterparts to prioritize fight against terrorism covid-19', 'peruvian mexican presidents meet prior to celac summit', 'presidente de bolivia', 'cumbre de la celac presidente de paraguay', ""peru's president participates in vi celac"", 'residente', ""un presidential visit to ratify confidence in peru's"", 'el presidente venezolano', 'p', 'presidentes', 'el presidente', 're', 'el presidente de la república', 'el presidente del banco central de reserva del perú', ""peru's president"", 'res']"
perú,60.5,"['el perú', 'perú libre', 'exitosaperú', 'bono yanapay perú', 'copa davis perú', 'partido morado-somos perú', 'asociación cultural taurina del perú', 'moooooos vamos perú', 'hernando cevallos ""ingreso al perú', 'team perú', 'ex miss perú', 'pedro castillo «perú', 'petroperú', 'castillo perú', 'yanapay perú', 'copa perú 2021', 'morales el perú', 'congreso perú libre', 'marca perú golazo de', 'miss perú teen solana costa', 'perú película', 'perú21', 'tv perú', 'el último pasajero miss perú', 'covid-19 perú', 'gol perú partidos', 'copa perú', 'perú libre y fenate', 'perú producción', 'selección perú', 'miss perú eco', 'perú22 vamos perú', 'amistoso perú', 'sudamericano perú', 'bancada de perú libre', 'vamos perú', 'perú perú libre renovación popular', 'somos perú', 'tv global perú']"
celac,45.50999999999999,"['gobierno de la celac', 'vi cumbre de la celac', 'cumbre de la celac', 'gobierno de la celac →', 'cumbre celac', 'celac castillo', 'celac →', 'cumbre celac debemos', 'iv cumbre de la celac', 'celac  tensión', 'la celac', 'la', 'el']"
vacunación,39.12999999999999,"['vacuna', 'nación', 'ministro cevallos vacunación', 'evacuación']"
cumbre,36.19,"['vi cumbre de jefas', 'vi cumbre de la comunidad de estados latinoamericanos y caribeños', 'vi cumbre de la', 'vi cumbre de jefes de estado', 'cumbre de', 'cumbre→', 'cumbre de la', 'vi cumbre', 'cumbre  →', 'sexta cumbre de la comunidad de estados latinoamericanos', 'cumbre de la celac amlo', 'vi cumbre de la comunidad de los estados latinoamericanos y caribeños', 'vi cumbre de\xa0la comunidad de estados latinoamericanos y caribeños', 'vi cumbre de', 'cumbre para la reconstrucción económica y productiva de potosí', 'la reunión cumbre de la región']"
país,33.89,"['el país de españa', 'países', 'el país escaparate', 'como país', 'fuerza popular app avanza país juntos', 'el país']"
covid-19,30.96,"['vi', 'covid-19 vacunatorio de plaza norte', 'covid-19 abdala', 'covid-19 minsa', 'covid-19 gobierno', 'covid-19 tercera', 'v', 'covid']"
fotos,27.509999999999998,['foto']
méxico,27.12,"['ciudad de méxico', 'conferencia del secretario de relaciones exteriores de méxico', 'secretario de relaciones exteriores de méxico', 'aniversario de méxico', 'narcos méxico', 'guerreros méxico', 'palacio nacional de méxico', 'exatlón méxico', 'xi', 'méxico mayoría', 'coahuila méxico', 'museo de antropología de méxico', 'museo nacional de antropología de méxico', 'estado de méxico morelos', 'veracruz méxico', 'x']"
pedro castillo,25.739999999999995,"['castillo', 'pedro castillo esta', 'pedro castillo terrones', 'cas', 'l', 'ti']"
persona,25.500000000000004,"['personaje', 'personal', 'cómo saber el dni de una persona', 'nuevo chimbote persona', 'personajes del año', 'feria del libro  personas', 'on', 'nuevo chimbote personal', 'personalidad', 'personal de la municipalidad']"
lima,24.22,"['lima metropolitana', 'feria metropolitana del libro lima lee', 'clima', 'alianza lima', 'lima callao', 'municipalidad de lima', 'exitosa lima', 'cercado de lima', 'la provincia de lima', 'museo metropolitano de lima', 'corte superior de justicia de lima', 'feria metropolitana del libro lima lee la municipalidad de lima', 'lima regiones madre de dios puno', 'feria lima lee', 'municipalidad metropolitana de lima', 'óscar huamán lima', 'lima\u200b', 'olla comunes de lima']"
gobierno,24.15,"['el gobierno', 'gobierno cubano', 'gobiernos→', 'gobierno del señor', 'gobierno en la vi cumbre de', 'cevallos gobierno', 'congreso gobierno', 'gobierno regional', 'gobierno peruano', 'gobiernos nosotros', 'no', 'gobiernos', 'gobierno de nicolás maduro', 'liderazgo del gobierno regional']"
mes,21.920000000000005,"['lionel messi', 'mesa', 'elizabeth holmes', 'messi', 'buenos días tromes esta', 'neymar lionel messi', 'mbappé lionel messi', 'theranos holmes', 'me', 'trimestre', 'messi psg', 'remesa']"
