,Name,KeywordsByWord
0,perú,"['congresista', 'orden', 'asistencia', 'captura', 'firma', 'perú', 'huancayo', 'pese', 'cambio', 'expectativa', 'activo', 'noviembre', 'tipo', 'reserva federal', 'compra', 'perú', 's/', 'aumento', 'reducción', 'dólar', 's/72000', 'uci', 'cama', 'muñoz', 'audiencia', 'ángeles negros', 'bazalar', 'cobro', 'madre', 'disculpa', 'transferencia', 'cecilia aróstegui', 'perú', 'dinero', 'cambio', 'divisa', 'tipo', 'decisión', 'ejecutivo', 'miércoles', 'septiembre', 'mercados', 'perú', 's/', 'jornada', 'reducción', 'dólar', 'senamhi', 'región', 'este', 'clima', 'miércoles', 'pronóstico', 'perú', 'septiembre', 'lima', 'informe matinal vuelve', 'noticia', 'escúchanos', 'tema', 'alejandro toledo', 'ee uu conoce', 'septiembre', 'resumen', 'perú', 'extradición', 'locución', 'bancada', 'canciller', 'presidente', 'firmeza', 'agenda', 'falta', 'óscar maúrtua', 'gobierno', 'renuncia', 'perú', 'realidad', 'comunicado', 'república', 'docilidad', 'óscar maúrtua dice', 'comisión', 'bancada', 'canciller', 'rree', 'ministro', 'firmeza', 'presidente', 'agenda', 'salida', 'falta', 'gobierno', 'verdad', 'comunicado', 'perú', 'docilidad', 'alejandro toledo', 'detalle', 'juez', 'fallo', 'thomas s hixson', 'nota', 'perú', 'extradición', 'alicia rojas sánchez', 'congresista', 'bancada', 'carta', 'guillermo bermejo', 'vocero', 'comisión de ética', 'silvana robles', 'asunto', 'libre', 'josé williams', 'perú', 'avanza país', 'renegociación', 'mensaje', 'contrato', 'presidente', '“', 'tipo', 'representante', 'forsyth', 'oea', 'perú', 'derecho', 'estado', 'castillo', 'camisea', 'harold forsyth', 'recurso', 'alejandro toledo', 'expresidente', 'habeas', 'corpus', 'perú', 'defensa', 'extradición', 'juez', 'decisión', 'perú', 'luz', 'exmandatario', 'extradición', 'agencia efe', 'entrevista', 'juan guaidó', 'credencial', 'venezuela', 'manera', 'el perú', 'embajador', 'libre', 'perú', 'relación', 'tiempo', 'carlos scull', 'expresidente', 'proyecto', 'perú', 'extradición', 'silvana carrión', 'colombia', 'américa latina', 'josé ricapa', 'país', 'bolivia', 'diálogo', 'ecuador', 'perú', 'realidad', 'movimiento', 'preocupación', 'qawarisun', 'global plywood and lumber trading', 'madera', 'empresa estadounidense', 'cúbicos', 'perú', 'metros', 'us$']"
1,presidente,"['iber maraví', 'presidente', 'susel paredes', 'renegociación', 'público', 'autoridad', 'presidente', 'bellido', 'castillo', 'camisea', 'bancada', 'canciller', 'presidente', 'firmeza', 'agenda', 'falta', 'óscar maúrtua', 'gobierno', 'renuncia', 'perú', 'realidad', 'comunicado', 'república', 'docilidad', 'óscar maúrtua dice', 'comisión', 'bancada', 'canciller', 'rree', 'ministro', 'firmeza', 'presidente', 'agenda', 'salida', 'falta', 'gobierno', 'verdad', 'comunicado', 'perú', 'docilidad', 'liderazgo', 'detalle', 'presidente', 'cifra', 'gobierno', 'ipsos', 'vladimir cerrón', 'encuesta', 'nota', 'lima', 'pedro castillo', 'congresista', 'titular', 'trabajo', 'maraví', 'presidente', 'ministro', 'gobierno', 'yarrow', 'avanza país', 'amigo', 'cartera', 'gobierno de castillo  frente amplio nuevo perú juntos por el perú', 'liderazgo', 'unidad', 'torno', 'perú libre', 'presidente', 'comunicado', 'organizaciones', 'izquierda', 'renegociación', 'pcm', 'gas de camisea', 'presidente', 'ministro', 'pueblo', 'retiro', 'castillo', 'puno', 'empresa', 'guido bellido', 'bancada de perú libre', 'docilidad', 'venezuela', 'congreso', 'presidente', 'decisión', 'salida', 'vicecanciller', 'óscar maúrtua', 'renuncia', 'relación', 'agrupación', 'pedro castillo', 'renegociación', 'mensaje', 'contrato', 'presidente', '“', 'tipo', 'representante', 'forsyth', 'oea', 'perú', 'derecho', 'estado', 'castillo', 'camisea', 'harold forsyth', 'cusco', 'renegociación de camisea', 'gobernador', 'planta', 'presidente', 'kepashiato', 'parte', 'castillo', 'válvula', 'guido bellido', 'guillermo lasso', 'comité', 'presidente', 'país', 'sistema', 'excepción', 'crisis', 'estado', 'sesión', 'jueves', 'mandatario', 'pandemia', 'presidente', 'consejo permanente de la oea', 'estado del continente', 'noche', 'jefe', 'pedro castillo', 'harold forsyth', 'sesión', 'clímaco cárdenas', 'presidente', 'noche', 'reforma', 'este miércoles desde las 900 pm por tvperú']"
2,gas de camisea,"['gabinete', 'amenaza', 'rené zubieta pacco', 'gas de camisea', 'diferencia', 'guido bellido', 'pregunta', 'amenaza', 'medida', 'rené zubieta pacco', 'gas de camisea', 'congreso', 'día', 'guido bellido', 'renegociación', 'pcm', 'gas de camisea', 'presidente', 'ministro', 'pueblo', 'retiro', 'castillo', 'puno', 'empresa', 'guido bellido', 'jorge coayla de perú libre no', 'parlamentario', 'bancada', 'tema', 'gas de camisea', 'congreso', 'ministro', 'citación', 'guido bellido', 'publicación', 'magistrado', 'gabinete', 'gas de camisea', 'congreso', 'agenda', 'pleno', 'jefe', 'reglamento', 'pedido', 'tc', 'citación', 'guido bellido', 'miedo', 'renegociación', 'tema', 'ministra', 'gas de camisea', 'mujer', 'utilidad', 'marco', 'institucionalización', 'anahí durand', 'jefe del gabinete', 'reunión', 'gas de camisea', 'miércoles', 'empresa']"
3,covid-19,"['vacuna', 'contenido', 'covid-19', 'youtube', 'pandemia', 'vez', 'muerte', 'covid-19', 'lima metropolitana', 'anda', 'pandemia', 'no', 'obstante', 'aforo', 'cristo moreno en las nazarenas', 'día', 'calle', 'devoto', 'octubre', 'horario', 'señor de los milagros', 'imagen', 'covid-19', 'muerte', 'minsa', 'setiembre', 'día', 'región', 'reporte', 'callao', 'covid-19', 'esquema', 'vacunación', 'dosis', 'viceministro rosell', 'bioseguridad', 'protocolo', 'población', 'aplicación', 'persona', 'funcionario', 'covid-19', 'cantidad', 'minsa', 'cifra', 'coronavirus', 'guardia', 'deceso', 'el vocero del sector salud césar munayco', 'hora', 'población', 'covid-19', 'ámbito', 'dosis', 'objetivo', 'millón', 'coronavirus', 'ministerio de salud', 'población', 'año', 'covid-19', 'gamarra', 'manera', 'inoculación', 'día', 'conoce', 'persona', 'la victoria', 'ciudadanos', 'covid-19', 'emporio', 'jornada', 'centro', 'dosis', 'mega plaza real plaza jockey plaza', 'val', 'sorteo', 's/1000', 'consumo', 'persona', 'covid-19', 'asociado', 'naranjal del metropolitano', 'lima norte', 'estación', 'coronavirus', 'mayores', 'miércoles', 'terminal', 'año', 'covid-19', 'incor', 'luisa talledo paredes', 'año', 'cardióloga', 'persona', 'enfermedad', 'covid-19', 'dosis', 'refuerzo', 'aplicación', 'viceministro de salud pública', 'covid-19', 'director', 'dosis', 'personal', 'salud', 'investigación', 'refuerzo', 'año', 'universidad científica del sur', 'persona', 'covid-19', 'comorbilidad', 'huancayo', 'covid-19', 'vacunación', 'mercado', 'pandemia', 'persona', 'lima', 'mes', 'covid-19', 'pandemia', 'vez', 'vivo', 'lima', 'covid-19']"
4,persona,"['minsa', 'millón', 'persona', 'dosis', 'revista', 'dosis', 'vez', 'uso', '2006', 'año', 'persona', 'estudio', 'american scientist', 'academia nacional', 'tratamiento', 'esclerosis', '2017', 'restricción', 'pesar', 'persona', 'paciente', '2018', 'dolor', 'momento', 'cargo', 'snai', 'cifra', 'prisión', 'ecuador', 'motín', 'persona', 'muerto', 'ministerio de desarrollo e inclusión social', 'caso', 'económico', 'persona', 'apoyo', 'yanapay perú cómo', 'dinero', 'robot', 'medicamento', 'raborta', 'cobertura', 'cdmx', 'aborto', 'persona', 'dispositivo', 'derecho', 'estado', 'méxico', 'esquema', 'vacunación', 'dosis', 'viceministro rosell', 'bioseguridad', 'protocolo', 'población', 'aplicación', 'persona', 'funcionario', 'covid-19', 'gamarra', 'manera', 'inoculación', 'día', 'conoce', 'persona', 'la victoria', 'ciudadanos', 'covid-19', 'emporio', 'jornada', 'momento', 'volcán', 'mar', 'lava', 'erupción', 'día', 'la palma', 'persona', 'preciso', 'isla', 'gas', 'centro', 'dosis', 'mega plaza real plaza jockey plaza', 'val', 'sorteo', 's/1000', 'consumo', 'persona', 'covid-19', 'asociado', 'momento', 'setiembre', 'persona', 'subsidio', 'dinero', 'incor', 'luisa talledo paredes', 'año', 'cardióloga', 'persona', 'enfermedad', 'covid-19', 'director', 'dosis', 'personal', 'salud', 'investigación', 'refuerzo', 'año', 'universidad científica del sur', 'persona', 'covid-19', 'comorbilidad', 'huaral', 'droga', 'persona', 'venta', 'pandemia', 'persona', 'lima', 'mes', 'covid-19', 'hombre', 'trabajo', 'libro', 'remuneración', 'mujer', 'año', 'persona', 'aporte', 'continente']"
5,ministro,"['comitiva', 'ministro', 'control', 'gobierno', 'carrasco', 'aeropuerto', 'iber maraví', 'ministro', 'carlos ánderson', 'juan silva', 'ministro', 'presidenta', 'irtp', 'tv perú', 'expresión', 'régimen', 'rospigliosi', 'ministro', 'prensa', 'silva', 'juan carrasco', 'desalojo', 'mercado', 'burgomaestre', 'conservación', 'alcalde', 'chiclayo', 'exterior', 'ministro', 'espacio', 'intervención', 'apoyo', 'mininter', 'gasco', 'modelo', 'vacunación', 'dosis', 'minsa', 'recomendación', 'viceministro rosell', 'ministro', 'personal', 'representante', 'salud', 'refuerzo', 'protocolo', 'adulto', 'bancada', 'alicia rojas  suscríbete', 'ministro', 'salida', 'una nota de', 'interpelación', 'iber maraví', 'congreso legisladores', 'óscar maúrtua dice', 'comisión', 'bancada', 'canciller', 'rree', 'ministro', 'firmeza', 'presidente', 'agenda', 'salida', 'falta', 'gobierno', 'verdad', 'comunicado', 'perú', 'docilidad', 'congresista', 'titular', 'trabajo', 'maraví', 'presidente', 'ministro', 'gobierno', 'yarrow', 'avanza país', 'amigo', 'cartera', 'renegociación', 'pcm', 'gas de camisea', 'presidente', 'ministro', 'pueblo', 'retiro', 'castillo', 'puno', 'empresa', 'guido bellido', 'jorge coayla de perú libre no', 'parlamentario', 'bancada', 'tema', 'gas de camisea', 'congreso', 'ministro', 'citación', 'guido bellido', 'gabinete', 'cargo', 'censura', 'favor', 'ministro', 'parlamentaria', 'patricia chirinos', 'avanza país', 'iber maraví', 'pedro castillo', 'guido bellido', 'juan cadillo', 'retorno', 'congreso', 'mañana', 'pleno', 'ministro', 'aula', 'moción', 'acción popular', 'educación', 'guido bellido', 'congresista', 'dedo', 'ministro', 'voluntad', 'señor', 'carlos anderson', 'nosotros', 'maraví', 'nación', 'ministro', '“', 'irtp', 'rosa garcía more', 'presidenta', 'entidad', 'compromiso', 'expresión', 'mtc', 'respeto', 'labor', 'libertad']"
6,iber maraví,"['iber maraví', 'presidente', 'susel paredes', 'iber maraví', 'ministro', 'carlos ánderson', 'bancada', 'jueves', 'mañana', 'congreso sesión', 'nota', 'tiempo', 'iber maraví', 'red', 'video', 'twitter ministerio de trabajo', 'congreso', 'hora', 'cuenta', 'interpelación', 'iber maraví', 'bancada', 'alicia rojas  suscríbete', 'ministro', 'salida', 'una nota de', 'interpelación', 'iber maraví', 'congreso legisladores', 'ministro de trabajo y promoción del empleo', 'jueves', 'parlamento', 'congreso', 'terrorismo', 'cuenta', 'vínculo', 'interpelación', 'iber maraví', 'gabinete', 'cargo', 'censura', 'favor', 'ministro', 'parlamentaria', 'patricia chirinos', 'avanza país', 'iber maraví', 'pedro castillo', 'guido bellido']"
7,alejandro toledo,"['alejandro toledo', 'control', 'acusación', 'octubre', 'poder', 'exmandatario', 'judicial', 'extradición', 'corpus', 'habea', 'alejandro toledo', 'alejandro toledo', 'procuradora', 'investigación', 'raúl tola', 'periodista', 'ángel páez', 'extradición', 'silvana carrión', 'entrevista', '3pm', 'informe matinal vuelve', 'noticia', 'escúchanos', 'tema', 'alejandro toledo', 'ee uu conoce', 'septiembre', 'resumen', 'perú', 'extradición', 'locución', 'alejandro toledo', 'detalle', 'juez', 'fallo', 'thomas s hixson', 'nota', 'perú', 'extradición', 'alicia rojas sánchez', 'eeuu', 'alejandro toledo', 'corpus', 'extradición', 'hábea', 'alejandro toledo', 'estado peruano', 'aníbal torres', 'fallo', 'satisfacción', 'extradición', 'posición', 'recurso', 'alejandro toledo', 'expresidente', 'habeas', 'corpus', 'perú', 'defensa', 'extradición']"
8,país,"['pasajero', 'retorno', 'avión', 'país', 'venezolano', 'gobierno', 'país', 'universidad', 'bachillerato', 'avanza', 'información', 'guido bellido', 'pasajero', 'retorno', 'avión', 'país', 'venezolano', 'gobierno', 'pedro castillo', 'mario vargas llosa', 'minería', 'país', 'libro', 'palabra', 'país', '6000', 'par', 'maravilla', 'olvido', 'frase', 'lectura', 'alicia', 'inteligencia', 'vacunación', 'mayoría', 'minsa', 'país', 'setiembre', 'caso', 'enero', 'región', 'rabia', 'enfermedad', 'sur', 'familia', 'mayoría', 'nosocomio', 'país', 'exterior', 'hospital del niño de breña', 'madre', 'región', 'apoyo', 'mes', 'padre', 'recuperación', 'hijo', 'guillermo lasso', 'comité', 'presidente', 'país', 'sistema', 'excepción', 'crisis', 'estado', 'sesión', 'gabinete ministerial', 'pcm', 'país', 'fin', 'necesidad', 'acción', 'consejo', 'cabo', 'tema', 'partir', 'país', 'mediodía', 'interés', 'presidencia del consejo de ministros', 'fin', 'sesión', 'estimación', 'carne', 'país', 'millón', 'año', 'cocina', 'tiempo', 'animal', 'perro', 'mundo', 'país', 'un debate constituyente', 'puerta', 'colombia', 'américa latina', 'josé ricapa', 'país', 'bolivia', 'diálogo', 'ecuador', 'perú', 'realidad', 'movimiento', 'preocupación', 'qawarisun', 'bill gates', 'secretario', 'país', 'conflicto', 'ongs', 'grupo', 'cumbre', 'interés', 'onu', 'octubre', 'kalibata', 'sistemas alimentarios', 'agricultor', 'maela""más', 'guterres', 'miriency gonzález', 'alternativa', 'propuesta', 'diccionario', 'pm', 'cuál', 'país', 'miércoles']"
9,gobierno,"['pasajero', 'retorno', 'avión', 'país', 'venezolano', 'gobierno', 'comitiva', 'ministro', 'control', 'gobierno', 'carrasco', 'aeropuerto', 'pasajero', 'retorno', 'avión', 'país', 'venezolano', 'gobierno', 'agenda', 'gobierno', 'cit', 'organización', 'acusación', 'gobierno', 'vladimir cerrón', 'plan', 'madeleine osterling', 'lea', 'sos', 'desastre', 'columna', 'gobierno', 'camino', 'conflictosmineros', '#', 'pueblo', 'gestión', 'gobierno', 'idea', 'pájaro carpintero real', 'cambio', 'factor', 'especie', 'autoridad', 'gobierno', 'climático', 'desaparición', 'en estados unidos', 'olaf scholz', 'punto', 'candidato', 'rodrigo zuleta', 'pretensión', 'alemania', 'verdes', 'gobierno', 'bloque', 'apoyo', 'cancillería', 'bancada', 'canciller', 'presidente', 'firmeza', 'agenda', 'falta', 'óscar maúrtua', 'gobierno', 'renuncia', 'perú', 'realidad', 'comunicado', 'república', 'docilidad', 'óscar maúrtua dice', 'comisión', 'bancada', 'canciller', 'rree', 'ministro', 'firmeza', 'presidente', 'agenda', 'salida', 'falta', 'gobierno', 'verdad', 'comunicado', 'perú', 'docilidad', 'liderazgo', 'detalle', 'presidente', 'cifra', 'gobierno', 'ipsos', 'vladimir cerrón', 'encuesta', 'nota', 'lima', 'pedro castillo', 'hombre', 'prensa', 'expresidente', 'irtp', 'gobierno', 'eduardo guzmán', 'adversario', 'entrevista', 'ariana lira delcore', 'congresista', 'titular', 'trabajo', 'maraví', 'presidente', 'ministro', 'gobierno', 'yarrow', 'avanza país', 'amigo', 'cartera', 'basura', 'medio', 'perú libre', 'gobierno', 'bermejo', 'periodista', 'prensa']"
